Team	Wins	PPG	OPPG	PD
HOU	65	112.4	103.9	8.5
TOR	59	111.7	103.9	7.8
GSW	58	113.5	107.5	6
BOS	55	104	100.4	3.6
PHI	52	109.8	105.3	4.5
CLE	50	110.9	109.9	1
POR	49	105.6	103	2.6
IND	48	105.6	104.4	1.2
NOW	48	111.7	110.4	1.3
OKC	48	107.9	104.4	3.5
UTH	48	104.1	99.8	4.3
SAS	47	102.7	99.8	2.9
MIN	47	109.5	107.3	2.2
DEN	46	110	108.5	1.5
MIL	44	106.5	106.8	-0.3
MIA	44	103.4	102.9	0.5
WAS	43	106.6	106	0.6
LAC	42	109	109	0
DET	39	103.8	103.9	-0.1
CHL	36	108.2	108	0.2
LAL	35	108.1	109.6	-1.5
NYK	29	104.5	108	-3.5
BKN	28	106.6	110.3	-3.7
CHI	27	102.9	110	-7.1
SAC	27	99.8	105.8	-7
ORL	25	103.4	108.2	-4.8
ATL	24	103.4	108.8	-5.4
DAL	24	102.3	105.4	-3.1
MEM	22	99.3	105.5	-6.2
PHX	21	103.9	113.3	-9.4
